CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Johnson City,East Tennessee State University,TN,US,2016-09-18,dozens,24,,24,,,general protestors,Protesting Trump's decision to end DACA,1,protest,0,0,0,0,1,1,http://www.johnsoncitypress.com/Politics/2017/09/18/Like-a-punch-to-the-gut-ETSU-Dreamers-talk-deportation-fears-at-solidarity-rally.html?ci=featured&lp=2&ti=,,,,
Omaha,University of Nebraska at Omaha,NE,US,2016-09-28,dozens,24,,24,,,Students,Protesting Trump's decision to end DACA,1,protest,0,0,0,0,1,1,http://www.3newsnow.com/news/local-news/uno-students-rally-for-daca,,,,
Allentown,Jordan Park,PA,US,2017-09-01,nearly 200,200,,200,, ,general protestors,Calling on area Republicans to follow Trump's lead,2,rally,0,0,0,0,1,1,http://www.mcall.com/news/local/mc-pictures-rally-to-support-trump-and-dump-dent-20170901-photogallery.html,http://www.lehighvalleylive.com/allentown/index.ssf/2017/09/pro-trump_rally_against_valley.html,,,
Austin,State Capitol,TX,US,2017-09-01,about 150,150,,150,, ,general protestors,Protesting anti-sanctuary city bill,0,protest,0,0,0,0,1,1,http://www.statesman.com/news/local/rally-against-hate-begins-capitol/bMhEO28EfIkCVCbcab6L7O/,,,,
Austin,University of Texas,TX,US,2017-09-01,roughly 25,25,,25,, ,Students,Protesting anti-sanctuary city bill,0,protest,1,1,0,0,1,1,http://dailytexanonline.com/2017/09/01/senate-bill-4-protest-sends-one-student-to-hospital-one-arrested,,,,
Bethlehem,Westgate Drive  Crosswalk,PA,US,2017-09-01,,1,,5,,,general protestors,speedy drivers,0,protest,0,0,0,0,1,1,http://www.mcall.com/news/local/mc-nws-t-rex-crosswalk-petition-20170901-story.html,,,,
Denton,Willis Library Mall,TX,US,2017-09-01,some 80; 100 or so,80,,100,,,students of University of North Texas and Texas Womens University & Denton residents,Protesting anti-sanctuary city bill,0,protest,0,0,0,0,1,1,http://ntdaily.com/int-stages-walkout-in-protest-of-sb4/,https://socialistworker.org/2017/09/05/taking-on-the-anti-immigrant-attack-in-texas,http://www.dentonrc.com/education/texas-womans-university/2017/09/01/students-protest-politics-division,,
Denver,State Capitol,CO,US,2017-09-01,dozens,12,,24,,,general protestors,DACA,1,rally,0,0,0,0,1,1,http://denver.cbslocal.com/2017/09/01/hickenlooper-daca-immigrants-dreamers/,http://www.aurorasentinel.com/news/metroaurora/coffman-offers-a-legislative-way-to-protect-undocumented-daca-children-from-deportation-ploy/,http://www.denverpost.com/2017/09/01/colorados-democrats-daca-rally/,,
Detroit,Outside Police HQ,MI,US,2017-09-01,,,,,, ,general protestors,Protesting death of 15-year-old caused by tasing,0,protest,0,0,0,0,1,1,http://www.fox2detroit.com/news/local-news/278119422-story,,,,
El Paso,Armijo Park,TX,US,2017-09-01,hundreds; about a thousand,100,,1000,,,general protestors,SB-4 Bill,,march ,0,0,0,0,1,1,http://www.elpasoproud.com/news/hundreds-of-el-pasoans-protest-sb-4-in-mega-march/802965787,http://www.elpasotimes.com/story/news/immigration/2017/09/01/1-000-march-support-young-immigrants-against-sanctuary-cities-law/626201001/,,,
Fayetteville,University of Arkansas,AR,US,2017-09-01,,,,,, ,Citizens Against Guns on Campus,Protesting new campus open carry law,0,protest,0,0,0,0,1,1,http://www.ozarksfirst.com/news/students-protest-support-new-campus-carry-law-at-university-of-arkansas/803102879,,,,
Fort Worth,South Hills High School,TX,US,2017-09-01,more than 150,150,,150,, ,general protestors/students,Protesting Texas's anti-sanctuary city bill,0,protest (walk-out),0,0,0,0,1,1,http://www.star-telegram.com/news/local/community/fort-worth/article170689357.html,https://www.dallasnews.com/news/education/2017/09/01/parents-fort-worth-students-walk-protesting-texas-tough-immigration-law,,,
Houston,Outside NRG center,TX,US,2017-09-01,more than two dozen,24,,24,,,general protestors,Protesting Trump's visit,1,protest,0,0,0,0,1,1,http://www.chron.com/houston/article/Immigrants-protest-during-Trump-s-Houston-visit-12169713.php,,,,
Los Angeles,Roybal Federal Building; Temple Street,CA,US,2017-09-01,hundreds,200,,200,, ,general protestors,Rally for DACA,1,rally,0,0,0,0,1,1,http://www.nbclosangeles.com/news/local/DACA-Immigration-President-Trump-Obama-442479213.html,http://laist.com/2017/09/01/daca_rally_sep_1.php#photo-1,,,
Minneapolis,Club Jager,MN,US,2017-09-01,17,17,,17,,,employees,donations to KKK,0,protest; boycott,0,0,0,0,1,1,http://www.startribune.com/minneapolis-bar-closes-after-performers-and-employees-protest-owner-s-donation-to-ex-kkk-leader/442502213/,,,,
New Haven,Summerfield United Methodist Church,CT,US,2017-09-01,about 100,100,,100,,,Yale Students,Rally for DACA,1,rally,0,0,0,0,1,1,http://www.nhregister.com/new-haven/article/Crowd-gathers-in-New-Haven-to-protest-for-DACA-12168511.php,,,,
Santa Barbara,County Courthouse,CA,US,2017-09-01,,,,,,,general protestors,Rally for DACA,1,rally,0,0,0,0,1,1,http://www.keyt.com/news/daca-supporters-rally-in-santa-barbara/615723370,,,,
